,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
152,Inj-P59,30624.999069750433,69624.99797673766,8128.973389,8206.497314,2030,injector,0,10000
153,Inj-P60,30624.999069750433,68124.99745309129,8131.864136,8208.308838,2030,injector,0,10000
154,Inj-P61,30624.999069750433,66624.99811968885,8132.234253,8207.513916,2031,injector,0,10000
155,Inj-P62,30624.999069750433,65124.997595737674,8127.884888,8202.36377,2031,injector,0,10000
156,Inj-P63,30624.999069750433,63624.99796485047,8122.400879,8197.004639,2031,injector,0,10000
157,Inj-P64,30624.999069750433,62124.998036478464,8116.7323,8192.510742,2031,injector,0,10000
158,Inj-P65,30874.99905786323,60874.99809591446,8109.220337,8186.748779,2031,injector,0,10000
159,Inj-P66,31124.999045976034,59624.99815535046,8105.206177,8184.713867,2031,injector,0,10000
160,Inj-P67,31624.999022201628,58374.99806604406,8101.940796,8183.625366,2031,injector,0,10000
161,Inj-P68,32874.99896276563,57124.998125784856,8094.765625,8178.88916,2031,injector,0,10000
162,Inj-P69,34124.99890332964,56374.99816144646,8093.671509,8178.979248,2031,injector,0,10000
163,Inj-P70,35624.999129491225,56374.99816144646,8089.851807,8175.586792,2031,injector,0,10000
164,Inj-P71,58874.99712908889,67124.99750064008,8109.584839,8187.152344,2032,injector,0,10000
165,Inj-P72,57874.99836749126,65874.99785786567,8103.821655,8182.685059,2032,injector,0,10000
166,Inj-P73,56874.99722449129,64624.998215091255,8102.655396,8183.225098,2032,injector,0,10000
167,Inj-P74,55874.998462588854,63374.997976737664,8093.817749,8175.5177,2032,injector,0,10000
168,Inj-P75,54874.99731958889,62124.998036478464,8097.365234,8179.511841,2032,injector,0,10000
169,Inj-P76,53624.99827208886,61124.99808402726,8115.193115,8197.725586,2032,injector,0,10000
170,Inj-P77,51874.99865308885,60624.998107801664,8133.427246,8217.377685,2032,injector,0,10000
171,Inj-P78,50374.99931999123,60124.99813157607,8150.380249,8235.679932,2032,injector,0,10000
172,Inj-P79,49124.99789108887,59624.99815535046,8160.99292,8247.254639,2032,injector,0,10000
173,Inj-P80,47874.99884358884,58874.99804226966,8172.631958,8259.266357,2032,injector,0,10000
174,Inj-P81,46624.998605540044,57874.99809012326,8186.428589,8272.866943,2033,injector,0,10000
175,Inj-P82,45374.99836749126,57124.998125784856,8187.129639,8273.523926,2033,injector,0,10000
176,Inj-P83,44124.998129442465,56374.99816144646,8185.871948,8272.03418,2033,injector,0,10000
177,Inj-P84,42624.99879604004,56374.99816144646,8152.126221,8238.72168,2033,injector,0,10000
178,Inj-P85,41124.99827208886,56374.99816144646,8125.078247,8211.817139,2033,injector,0,10000
179,Inj-P86,39624.99893899123,56374.99816144646,8108.094605,8194.736938,2033,injector,0,10000
180,Inj-P87,38124.99841504005,56374.99816144646,8097.42688,8183.802612,2033,injector,0,10000
181,Inj-P88,36874.99877226564,56374.99816144646,8091.711182,8177.784424,2033,injector,0,10000
182,Well-1,48124.99912949123,72874.99752441447,7578.234619,7773.301758,2025,producer,0,10000
183,Well-2,50624.998415040056,72874.99752441447,7804.127808,7992.693848,2025,producer,0,10000
184,Well-3,49374.99817699126,74124.99776246327,7648.937256,7838.105225,2025,producer,0,10000
185,Well-4,48124.99912949123,75374.99859609125,7501.425293,7691.880493,2025,producer,0,10000
186,Well-5,50624.998415040056,75374.99859609125,7692.99353,7878.350342,2025,producer,0,10000
187,Well-6,49374.99817699126,76624.99764359128,7560.360352,7745.919678,2025,producer,0,10000
188,Well-7,48124.99912949123,77874.9966910913,7465.805054,7649.709717,2025,producer,0,10000
189,Well-8,50624.998415040056,77874.9966910913,7614.754395,7795.951782,2025,producer,0,10000
190,Well-9,53124.99770058888,77874.9966910913,7749.473511,7929.561768,2026,producer,0,10000
191,Well-10,55624.99817699126,77874.9966910913,7837.188599,8017.028198,2026,producer,0,10000
192,Well-11,54374.99912949123,76624.99764359128,7844.068359,8025.182129,2026,producer,0,10000
193,Well-12,53124.99770058888,75374.99859609125,7848.125488,8030.942261,2026,producer,0,10000
194,Well-13,54374.99912949123,74124.99776246327,7954.913574,8137.640869,2026,producer,0,10000
195,Well-14,55624.99817699126,72874.99752441447,8028.911987,8211.069336,2026,producer,0,10000
196,Well-15,53124.99770058888,72874.99752441447,7955.165039,8140.34375,2026,producer,0,10000
197,Well-16,54374.99912949123,71624.99788164007,8018.366577,8203.250244,2026,producer,0,10000
198,Well-17,43124.99817699126,72874.99752441447,7386.45752,7586.22998,2027,producer,0,10000
199,Well-18,45624.99865308885,72874.99752441447,7403.706543,7605.139893,2027,producer,0,10000
200,Well-19,44374.998415040056,74124.99776246327,7375.47229,7573.112915,2027,producer,0,10000
201,Well-20,43124.99817699126,75374.99859609125,7417.229858,7608.545654,2027,producer,0,10000
202,Well-21,45624.99865308885,75374.99859609125,7381.420776,7575.335327,2027,producer,0,10000
203,Well-22,44374.998415040056,76624.99764359128,7402.987549,7591.619019,2027,producer,0,10000
204,Well-23,43124.99817699126,77874.9966910913,7467.560547,7648.452148,2027,producer,0,10000
205,Well-24,45624.99865308885,77874.9966910913,7410.302979,7594.968872,2027,producer,0,10000
206,Well-25,53124.99770058888,80374.99716718889,7687.902588,7863.282471,2028,producer,0,10000
207,Well-26,55624.99817699126,80374.99716718889,7767.818115,7945.717651,2028,producer,0,10000
208,Well-27,54374.99912949123,81624.9974052377,7717.145142,7891.682861,2028,producer,0,10000
209,Well-28,53124.99770058888,82874.99764359127,7684.506104,7854.687988,2028,producer,0,10000
210,Well-29,55624.99817699126,82874.99764359127,7759.154785,7934.08667,2028,producer,0,10000
211,Well-30,54374.99912949123,84124.99669109129,7726.157837,7896.805298,2028,producer,0,10000
212,Well-31,53124.99770058888,85374.99811968887,7703.321533,7869.542847,2028,producer,0,10000
213,Well-32,55624.99817699126,85374.99811968887,7767.254517,7938.820068,2028,producer,0,10000
214,Well-33,58124.99865308885,85374.99811968887,7842.889526,8018.834839,2029,producer,0,10000
215,Well-34,60624.99793894247,85374.99811968887,7899.649902,8078.104004,2029,producer,0,10000
216,Well-35,59374.99770058888,84124.99669109129,7886.579834,8066.254272,2029,producer,0,10000
217,Well-36,58124.99865308885,82874.99764359127,7847.118408,8026.516479,2029,producer,0,10000
218,Well-37,60624.99793894247,82874.99764359127,7933.14624,8115.036011,2029,producer,0,10000
219,Well-38,59374.99770058888,81624.9974052377,7897.9021,8079.393311,2029,producer,0,10000
220,Well-39,58124.99865308885,80374.99716718889,7858.162109,8038.719238,2029,producer,0,10000
221,Well-40,60624.99793894247,80374.99716718889,7987.507813,8168.468262,2029,producer,0,10000
222,Well-41,48124.99912949123,80374.99716718889,7470.314819,7645.081055,2030,producer,0,10000
223,Well-42,50624.998415040056,80374.99716718889,7582.107788,7756.34021,2030,producer,0,10000
224,Well-43,49374.99817699126,81624.9974052377,7525.543335,7695.615356,2030,producer,0,10000
225,Well-44,48124.99912949123,82874.99764359127,7525.817627,7691.588257,2030,producer,0,10000
226,Well-45,50624.998415040056,82874.99764359127,7593.381958,7759.850098,2030,producer,0,10000
227,Well-46,49374.99817699126,84124.99669109129,7580.514648,7743.091064,2030,producer,0,10000
228,Well-47,48124.99912949123,85374.99811968887,7619.64978,7779.328003,2030,producer,0,10000
